"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"Regions Financial","RF","11.05M","21.50B","3.14B","15.58","1.27"
"Republic Services","RSG","1.44M","23.64B","10.07B","27.04","0.59"
"ResMed","RMD","647.76K","14.95B","2.27B","33.22","0.9"
"Robert Half","RHI","1.12M","9.54B","5.52B","24.88","1.17"
"Rockwell Automation","ROK","1.16M","22.11B","6.60B","26.19","1.26"
"Rockwell Collins","COL","1.24M","22.49B","8.59B","25.74","0.63"
"Roper Technologies","ROP","424.43K","30.44B","4.88B","35.75","1.15"
"Ross Stores","ROST","2.60M","33.53B","14.42B","23.23","1.09"
"Royal Caribbean Cruises","RCL","2.00M","23.80B","8.94B","13.97","1.16"
"S&P Global","SPGI","1.09M","49.78B","6.28B","28.48","1.22"
"Salesforce.com","CRM","5.04M","103.51B","11.10B","153.77","1.25"
"SBA Communications","SBAC","1.14M","18.26B","1.79B","314.58","0.89"
"Scana","SCG","1.57M","6.02B","4.42B","","0.15"
"Schlumberger","SLB","6.91M","91.20B","32.22B","","1.02"
"Seagate","STX","4.77M","15.47B","11.18B","11.34","1.74"
"Sealed Air","SEE","1.60M","6.99B","5.59B","","1.13"
"Sempra Energy","SRE","2.46M","30.85B","11.14B","28.83","0.42"
"Sherwin-Williams","SHW","672.68K","41.36B","17.23B","33.46","1.24"
"Signet Jewelers","SIG","2.09M","3.49B","6.33B","","0.76"
"Simon Property","SPG","1.52M","55.21B","5.62B","25.38","0.49"
"Skyworks","SWKS","2.52M","17.11B","3.84B","15.08","0.59"
"SL Green","SLG","842.16K","9.23B","1.34B","35.53","1.12"
"Snap-On","SNA","586.39K","9.50B","4.16B","15.85","1.16"
"Southern","SO","4.97M","49.50B","23.63B","59.64","0.01"
"Southwest Airlines","LUV","5.95M","33.29B","21.23B","15.52","1.1"
"Stanley Black Decker","SWK","1.34M","22.11B","13.68B","20.74","1.06"
"Starbucks","SBUX","10.84M","70.46B","24.11B","15.82","0.63"
"State Street","STT","2.14M","32.96B","6.49B","12.88","1.23"
"Stericycle","SRCL","998.67K","5.30B","3.55B","141.77","0.43"
"Stryker","SYK","1.40M","61.77B","13.04B","32.71","0.59"
"SunTrust Banks","STI","2.83M","33.53B","5.05B","15.51","1.27"
"Symantec","SYMC","6.29M","11.96B","4.85B","","0.7"
"Synchrony Financial","SYF","5.71M","22.53B","8.56B","9.49","1"
"Synopsys","SNPS","1.15M","13.58B","2.94B","65.23","1.12"
"Sysco","SYY","2.38M","35.72B","57.83B","27.56","0.5"
"T Rowe","TROW","1.67M","28.43B","5.18B","17.35","1.23"
"Tapestry","TPR","3.03M","13.39B","5.53B","25.31","0.44"
"Target","TGT","4.76M","43.42B","72.64B","17.25","0.65"
"TE Connectivity","TEL","1.65M","32.59B","14.45B","17.28","1.03"
"TechnipFMC","FTI","3.72M","14.41B","13.91B","42.17",""
"Texas Instruments","TXN","6.18M","110.46B","15.67B","25.86","1.18"
"Textron","TXT","1.64M","16.64B","14.52B","24.01","1.41"
"The AES","AES","6.93M","9.05B","20.37B","37.97","1.23"
"The Charles Schwab","SCHW","5.99M","67.85B","9.85B","25.04","1.55"
"The Goodyear Tire&Rubber","GT","3.08M","5.91B","387.78M","10.78","1.77"
"The Travelers","TRV","1.41M","34.72B","29.55B","16.53","1.3"
"Thermo Fisher Scientific","TMO","1.41M","93.87B","23.09B","36.3","1.15"
"Tiffany&Co","TIF","1.61M","16.87B","4.30B","30.2","1.81"
"TJX","TJX","3.28M","61.01B","36.77B","23.15","0.67"
"Torchmark","TMK","529.90K","9.86B","4.26B","4.24","0.92"
"Total System Services","TSS","1.27M","16.98B","5.92B","","1.18"
"Tractor Supply","TSCO","1.96M","9.60B","7.80B","20.2","1.38"
"Transdigm","TDG","326.90K","19.39B","6.19B","34.09","0.81"
"TripAdvisor","TRIP","3.30M","7.32B","1.57B","146.36","1.79"
"Twenty-First Century Fox A","FOXA","9.98M","83.74B","29.21B","30.62","1.35"
"Tyson Foods","TSN","2.43M","21.23B","40.00B","11.89","0.07"
"Ulta Beauty","ULTA","1.19M","14.14B","6.11B","22.93","0.72"
"Under Armour A","UAA","5.38M","8.46B","5.13B","","-0.39"
"Under Armour C","UA","3.23M","8.46B","5.13B","","-0.39"
"Union Pacific","UNP","3.63M","110.76B","22.01B","21.55","0.81"
"United Continental","UAL","3.41M","22.17B","39.13B","12.62","0.72"
"United Dominion","UDR","1.48M","10.47B","1.51B","147.56","0.33"
"United Parcel Service","UPS","2.76M","102.67B","69.38B","21.02","1.16"
"United Rentals","URI","1.26M","12.28B","7.31B","14.69","2.47"
"United Technologies","UTX","3.76M","107.12B","62.69B","18.42","1.03"
"UnitedHealth","UNH","2.52M","247.18B","213.66B","23.82","0.7"
"Universal Health Services","UHS","800.10K","11.72B","10.55B","15.1","0.85"
"Unum","UNM","2.03M","8.06B","11.45B","7.78","1.41"
"US Bancorp","USB","7.11M","86.90B","12.43B","16.09","1"
"Valero Energy","VLO","3.46M","49.73B","98.65B","21.47","0.99"
"Varian","VAR","628.02K","10.50B","2.86B","31.96","0.82"
"Ventas","VTR","2.24M","20.67B","3.68B","41.16","0.15"
"VeriSign","VRSN","976.71K","18.59B","1.19B","39.15","0.88"
"Verisk","VRSK","952.92K","18.90B","2.30B","36.88","0.64"
"Verizon","VZ","14.74M","215.98B","129.65B","15.18","0.67"
"Vertex","VRTX","1.79M","44.61B","2.62B","109.39","1.47"
"VF","VFC","2.13M","36.46B","17.64B","28.92","1.01"
"Viacom B","VIAB","4.80M","11.93B","12.90B","5.89","1.56"
"Visa","V","7.27M","313.17B","20.03B","38.56","1.07"
"Vornado","VNO","937.07K","13.69B","2.14B","79.5","0.9"
"Vulcan Materials","VMC","1.25M","15.14B","4.13B","43.37","0.96"
"Walgreens Boots","WBA","5.57M","66.71B","128.24B","15.57","1.09"
"Walmart","WMT","8.53M","264.40B","505.49B","30.65","0.49"
"Walt Disney","DIS","8.47M","169.62B","56.96B","17.82","1.33"
"Waste Management","WM","1.99M","38.40B","14.62B","14.08","0.72"
"Waters","WAT","598.40K","15.20B","2.38B","25.67","1"
"WEC Energy","WEC","1.79M","20.93B","7.67B","19.78","-0.01"
"Wells Fargo&Co","WFC","18.74M","286.67B","50.07B","14.98","1.11"
"Welltower","WELL","2.04M","23.93B","4.42B","163.24","0.23"
"Western Digital","WDC","4.23M","20.34B","20.65B","9.07","0.97"
"Western Union","WU","4.29M","8.94B","5.61B","24.13","1.03"
"WestRock Co","WRK","1.66M","14.32B","16.11B","20.47",""
"Weyerhaeuser","WY","4.13M","25.72B","7.63B","24.82","1.36"
"Whirlpool","WHR","1.78M","8.70B","728.79M","","1.61"
"Williams","WMB","8.35M","25.78B","8.30B","345.27","1.54"
"Willis Towers Watson","WLTW","578.24K","19.62B","8.18B","38.93","0.95"
"WW Grainger","GWW","693.63K","19.03B","10.90B","24.93","0.83"
"Wyndham","WYND","1.99M","4.64B","7.75B","13.93","1.34"
"Wynn Resorts","WYNN","4.18M","16.20B","6.62B","88.05","1.5"
"Xcel Energy","XEL","3.66M","24.01B","17.01B","21.71","0.05"
"Xerox","XRX","2.62M","6.67B","10.19B","13.48","1.28"
"Xilinx","XLNX","2.66M","18.18B","2.61B","24","0.99"
"XL Group","XL","1.78M","14.53B","11.43B","","0.41"
"Xylem","XYL","1.24M","13.67B","5.01B","33.1","1.28"
"Yum! Brands","YUM","2.09M","26.46B","5.75B","13.78","0.83"
"Zimmer Biomet","ZBH","1.07M","25.59B","7.92B","61.68","1.13"
"Zions","ZION","2.34M","10.51B","1.47B","15.61","1.36"
"Zoetis Inc","ZTS","2.57M","44.34B","5.59B","32.96","1.02"
