"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"CSX","CSX","0.24%","1.41%","10.72%","29.54%","46.20%","131.66%"
"Cummins","CMI","1.30%","1.91%","7.72%","-19.83%","-11.58%","10.77%"
"CVS Health Corp","CVS","1.74%","-2.67%","-0.31%","-10.50%","-16.78%","-41.65%"
"Danaher","DHR","-0.08%","-1.34%","2.54%","9.21%","25.13%","9.87%"
"Darden Restaurants","DRI","0.10%","1.97%","-1.19%","13.39%","30.94%","62.34%"
"DaVita","DVA","0.61%","7.00%","7.62%","3.18%","29.20%","-7.38%"
"Deere&Company","DE","0.89%","1.82%","2.62%","-8.40%","10.49%","50.08%"
"Delta Air Lines","DAL","0.65%","-0.37%","10.15%","-3.11%","7.21%","17.19%"
"Dentsply","XRAY","1.04%","0.95%","6.28%","-27.50%","-22.50%","-15.43%"
"Devon Energy","DVN","-2.03%","-3.37%","-2.14%","3.99%","27.90%","-8.31%"
"Digital","DLR","1.27%","1.21%","6.96%","7.62%","6.41%","88.56%"
"Discover","DFS","2.07%","0.25%","3.91%","-4.65%","20.15%","34.64%"
"Discovery A","DISCA","1.88%","3.96%","-2.10%","20.91%","14.03%","-6.27%"
"Discovery Communications C","DISCK","2.05%","2.80%","-2.46%","17.81%","10.35%","-6.66%"
"DISH Network","DISH","14.53%","13.43%","1.94%","-28.38%","-43.58%","-49.87%"
"Dollar General","DG","-0.05%","0.82%","0.11%","5.61%","31.22%","21.75%"
"Dollar Tree","DLTR","-0.42%","2.60%","7.49%","-15.87%","21.82%","14.89%"
"Dominion Resources","D","1.38%","1.21%","3.41%","-11.03%","-7.63%","1.35%"
"Dover","DOV","0.56%","1.71%","12.67%","-18.57%","-4.97%","29.11%"
"DR Horton","DHI","0.00%","-0.27%","5.93%","-14.27%","19.65%","52.49%"
"DTE Energy","DTE","1.29%","1.37%","3.55%","0.58%","1.06%","39.00%"
"Duke","DRE","0.72%","2.48%","0.62%","8.01%","2.44%","49.72%"
"Duke Energy","DUK","1.37%","0.57%","1.17%","-3.04%","-5.70%","10.23%"
"DuPont","DWDP","0.57%","-2.27%","1.14%","-6.18%","4.45%","56.98%"
"DXC Technology","DXC","0.35%","0.62%","3.85%","-8.96%","9.76%","213.50%"
"E-TRADE","ETFC","-0.45%","-1.83%","0.27%","21.26%","45.86%","105.29%"
"Eastman Chemical","EMN","1.96%","1.09%","2.55%","10.09%","21.32%","32.28%"
"Eaton","ETN","0.49%","1.24%","7.56%","3.24%","9.45%","36.82%"
"eBay","EBAY","1.32%","-0.44%","-9.10%","-10.81%","-5.50%","17.86%"
"Ecolab","ECL","0.53%","4.38%","4.53%","9.64%","10.70%","26.01%"
"Edison","EIX","1.22%","0.77%","2.67%","5.98%","-15.47%","11.96%"
"Edwards Lifesciences","EW","0.12%","2.35%","-0.85%","28.84%","24.98%","93.46%"
"Electronic Arts","EA","1.73%","-2.20%","-8.63%","24.57%","11.64%","74.12%"
